-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::resize_         0.20%     821.522us         0.29%       1.200ms       5.265us       6.015ms         0.92%       6.015ms      26.381us           0 b           0 b      23.45 Gb      23.45 Gb           228  
                                               aten::mm         0.98%       4.138ms         1.47%       6.195ms      28.680us      33.329ms         5.08%      33.329ms     154.303us           0 b           0 b       6.11 Gb       6.11 Gb           216  
                          aten::max_pool2d_with_indices         0.16%     654.406us         0.22%     936.424us      19.509us      14.349ms         2.19%      14.349ms     298.939us           0 b           0 b       3.75 Gb       3.75 Gb            48  
                 aten::max_pool2d_with_indices_backward         0.07%     274.686us         0.18%     746.747us      31.114us      21.063ms         3.21%      25.169ms       1.049ms           0 b           0 b       2.72 Gb       2.72 Gb            24  
                                    aten::empty_strided         0.35%       1.455ms         0.35%       1.455ms       5.511us       0.000us         0.00%       0.000us       0.000us     192.00 Kb     192.00 Kb       1.96 Gb       1.96 Gb           264  
                                              aten::mul         0.20%     848.384us         0.31%       1.285ms      15.292us       9.191ms         1.40%       9.191ms     109.412us           0 b           0 b       1.96 Gb       1.96 Gb            84  
                                              aten::elu         0.14%     590.122us         0.21%     887.332us      18.486us       6.174ms         0.94%       6.174ms     128.624us           0 b           0 b       1.96 Gb       1.96 Gb            48  
                                              aten::exp         0.14%     574.227us         0.19%     817.357us      17.028us       6.195ms         0.94%       6.195ms     129.072us           0 b           0 b       1.96 Gb       1.96 Gb            48  
                                     aten::elu_backward         0.14%     600.344us         0.24%       1.023ms      21.310us       9.079ms         1.38%       9.079ms     189.155us           0 b           0 b       1.96 Gb       1.96 Gb            48  
                                            aten::empty         0.35%       1.458ms         0.35%       1.458ms       4.501us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.91 Gb       1.91 Gb           324  
                                aten::cudnn_convolution         0.14%     573.238us         0.24%       1.029ms      85.779us       2.838ms         0.43%       2.838ms     236.501us           0 b           0 b       1.32 Gb       1.32 Gb            12  
                                               aten::gt         0.18%     752.185us         0.25%       1.059ms      22.071us       3.798ms         0.58%       3.798ms      79.116us           0 b           0 b     498.00 Mb     498.00 Mb            48  
                                              aten::bmm         0.20%     859.869us         0.28%       1.194ms      33.175us      32.135ms         4.90%      32.135ms     892.639us           0 b           0 b     111.00 Mb     111.00 Mb            36  
                                              aten::sum         0.47%       1.976ms         0.69%       2.919ms      24.321us      13.550ms         2.06%      13.550ms     112.919us           0 b           0 b       7.94 Mb       7.94 Mb           120  
                                            aten::addmm         0.15%     620.740us         0.22%     932.129us      38.839us      10.096ms         1.54%      10.096ms     420.650us           0 b           0 b       6.02 Mb       6.02 Mb            24  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 421.134ms
Self CUDA time total: 656.231ms
