-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  fused_forward_gramian         0.00%       0.000us         0.00%       0.000us       0.000us     225.699ms        34.39%     225.699ms      18.808ms           0 b           0 b           0 b           0 b            12  
                             aten::convolution_backward         0.41%       1.738ms         0.99%       4.154ms      57.693us      79.146ms        12.06%      85.732ms       1.191ms           0 b           0 b       3.80 Gb       4.50 Mb            72  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      42.297ms         6.45%      42.297ms     881.186us           0 b           0 b           0 b           0 b            48  
                                           aten::im2col         0.77%       3.233ms         2.63%      11.084ms     307.891us      35.087ms         5.35%      41.102ms       1.142ms           0 b           0 b      14.17 Gb           0 b            36  
void at::native::im2col_kernel<float>(long, float co...         0.00%       0.000us         0.00%       0.000us       0.000us      35.087ms         5.35%      35.087ms      30.457us           0 b           0 b           0 b           0 b          1152  
                                               aten::mm         0.98%       4.138ms         1.47%       6.195ms      28.680us      33.329ms         5.08%      33.329ms     154.303us           0 b           0 b       6.11 Gb       6.11 Gb           216  
                                              aten::bmm         0.20%     859.869us         0.28%       1.194ms      33.175us      32.135ms         4.90%      32.135ms     892.639us           0 b           0 b     111.00 Mb     111.00 Mb            36  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      30.637ms         4.67%      30.637ms       2.553ms           0 b           0 b           0 b           0 b            12  
                                Optimizer.step#SGD.step         0.00%       0.000us         0.00%       0.000us       0.000us      28.792ms         4.39%      28.792ms       2.399ms           0 b           0 b           0 b           0 b            12  
                                    aten::_foreach_add_         0.08%     341.914us         0.18%     777.192us      64.766us      28.738ms         4.38%      28.738ms       2.395ms           0 b           0 b           0 b           0 b            12  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      28.738ms         4.38%      28.738ms     342.121us           0 b           0 b           0 b           0 b            84  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      26.714ms         4.07%      26.714ms       1.113ms           0 b           0 b           0 b           0 b            24  
                                aten::_conv_depthwise2d         0.05%     215.459us         0.14%     578.366us      24.099us      26.200ms         3.99%      26.200ms       1.092ms           0 b           0 b       2.72 Gb           0 b            24  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      26.200ms         3.99%      26.200ms       1.092ms           0 b           0 b           0 b           0 b            24  
                 aten::max_pool2d_with_indices_backward         0.07%     274.686us         0.18%     746.747us      31.114us      21.063ms         3.21%      25.169ms       1.049ms           0 b           0 b       2.72 Gb       2.72 Gb            24  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us      21.063ms         3.21%      21.063ms     877.641us           0 b           0 b           0 b           0 b            24  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      19.344ms         2.95%      19.344ms       1.612ms           0 b           0 b           0 b           0 b            12  
                       ampere_sgemm_128x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      18.724ms         2.85%      18.724ms     780.183us           0 b           0 b           0 b           0 b            24  
                          aten::max_pool2d_with_indices         0.16%     654.406us         0.22%     936.424us      19.509us      14.349ms         2.19%      14.349ms     298.939us           0 b           0 b       3.75 Gb       3.75 Gb            48  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us      14.349ms         2.19%      14.349ms     298.939us           0 b           0 b           0 b           0 b            48  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 421.134ms
Self CUDA time total: 656.231ms
