-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                  fused_forward_gramian         0.00%       0.000us         0.00%       0.000us       0.000us     490.461ms        31.87%     490.461ms      40.872ms           0 b           0 b           0 b           0 b            12                                                                                []  
                                Optimizer.step#SGD.step         0.00%       0.000us         0.00%       0.000us       0.000us     115.136ms         7.48%     115.136ms       9.595ms           0 b           0 b           0 b           0 b            12                                                                                []  
                                    aten::_foreach_add_         0.07%     698.591us         0.21%       1.958ms     163.148us     114.896ms         7.47%     114.896ms       9.575ms           0 b           0 b           0 b           0 b            12                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     114.896ms         7.47%     114.896ms     368.257us           0 b           0 b           0 b           0 b           312                                                                                []  
                             aten::convolution_backward         0.05%     476.314us         0.13%       1.197ms      49.884us     110.788ms         7.20%     118.048ms       4.919ms           0 b           0 b       5.30 Gb           0 b            24  [[32, 4096, 28, 28], [32, 2048, 30, 30], [4096, 1, 3, 3], [], [], [], [], [], []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      88.696ms         5.76%      88.696ms       1.848ms           0 b           0 b           0 b           0 b            48                                                                                []  
                                               aten::mm         0.05%     443.276us         0.08%     761.826us      31.743us      75.408ms         4.90%      75.408ms       3.142ms           0 b           0 b     201.00 Mb     201.00 Mb            24                                                       [[32, 8192], [8192, 65536]]  
                       ampere_sgemm_128x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      75.382ms         4.90%      75.382ms       3.141ms           0 b           0 b           0 b           0 b            24                                                                                []  
void at::native::im2col_kernel<float>(long, float co...         0.00%       0.000us         0.00%       0.000us       0.000us      67.298ms         4.37%      67.298ms      58.418us           0 b           0 b           0 b           0 b          1152                                                                                []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      55.619ms         3.61%      55.619ms       2.317ms           0 b           0 b           0 b           0 b            24                                                                                []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      54.862ms         3.57%      54.862ms       2.286ms           0 b           0 b           0 b           0 b            24                                                                                []  
                                               aten::mm         0.05%     484.606us         0.06%     565.663us      47.139us      52.678ms         3.42%      52.678ms       4.390ms           0 b           0 b      24.00 Gb      24.00 Gb            12                                                         [[8192, 32], [32, 65536]]  
                                 ampere_sgemm_32x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      52.678ms         3.42%      52.678ms       4.390ms           0 b           0 b           0 b           0 b            12                                                                                []  
                                aten::_conv_depthwise2d         0.01%     116.070us         0.03%     311.762us      25.980us      47.758ms         3.10%      47.758ms       3.980ms           0 b           0 b       4.59 Gb           0 b            12                     [[32, 2048, 30, 30], [4096, 1, 3, 3], [], [4096], [], [], []]  
                                           aten::im2col         0.12%       1.123ms         0.41%       3.889ms     324.122us      45.820ms         2.98%      54.125ms       4.510ms           0 b           0 b      20.67 Gb           0 b            12                                              [[32, 2048, 30, 30], [], [], [], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 952.073ms
Self CUDA time total: 1.539s
