-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           gramian_pass        26.40%      93.728ms        26.71%      94.802ms       7.900ms       0.000us         0.00%      12.415us       1.035us           0 b           0 b      13.06 Gb      13.06 Gb            12  
                                              aten::cat         0.52%       1.835ms         2.17%       7.689ms     128.158us      38.540ms        15.54%      38.540ms     642.334us           0 b           0 b      12.05 Gb      12.05 Gb            60  
                                              aten::bmm         0.18%     646.055us         0.50%       1.783ms      74.303us      18.204ms         7.34%      18.204ms     758.516us           0 b           0 b      12.02 Gb      12.02 Gb            24  
                                          aten::resize_         0.21%     745.084us         0.21%     745.084us       4.435us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.32 Gb       2.32 Gb           168  
                 aten::max_pool2d_with_indices_backward         0.20%     715.406us         0.50%       1.768ms      36.834us      10.335ms         4.17%      12.429ms     258.946us           0 b           0 b       1.36 Gb       1.36 Gb            48  
                                     aten::elu_backward         0.39%       1.370ms         1.03%       3.644ms      37.963us       4.592ms         1.85%       4.592ms      47.836us           0 b           0 b     996.00 Mb     996.00 Mb            96  
                                aten::cudnn_convolution         0.32%       1.146ms         0.60%       2.145ms      89.373us       1.861ms         0.75%       1.861ms      77.553us           0 b           0 b     675.00 Mb     675.00 Mb            24  
                                              aten::elu         0.28%       1.002ms         0.43%       1.537ms      32.020us       1.601ms         0.65%       1.601ms      33.361us           0 b           0 b     498.00 Mb     498.00 Mb            48  
                          aten::max_pool2d_with_indices         0.17%     595.515us         0.26%     937.314us      39.055us       1.851ms         0.75%       1.851ms      77.115us           0 b           0 b     477.00 Mb     477.00 Mb            24  
                                               aten::mm         1.05%       3.713ms         2.90%      10.304ms      50.508us      42.178ms        17.01%      61.271ms     300.348us           0 b           0 b      12.43 Gb     413.97 Mb           204  
                                            aten::empty         0.46%       1.643ms         0.46%       1.643ms       5.266us       0.000us         0.00%       0.000us       0.000us         480 b         480 b      10.51 Mb      10.51 Mb           312  
                                              aten::sum         0.95%       3.362ms         1.37%       4.876ms      33.858us       4.252ms         1.72%       4.252ms      29.530us           0 b           0 b       3.52 Mb       3.52 Mb           144  
                                              aten::add         0.15%     532.718us         0.21%     748.752us      20.799us      66.462us         0.03%      66.462us       1.846us           0 b           0 b       1.56 Mb       1.56 Mb            36  
                                            aten::addmm         0.37%       1.329ms         1.37%       4.846ms     100.962us     987.902us         0.40%       1.963ms      40.893us           0 b           0 b       4.55 Mb       1.46 Mb            48  
                                    aten::empty_strided         0.14%     510.868us         0.14%     510.868us       7.095us       0.000us         0.00%       0.000us       0.000us     144.00 Kb     144.00 Kb     102.00 Kb     102.00 Kb            72  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 354.982ms
Self CUDA time total: 247.941ms
