-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     144.219ms       265.20%     144.219ms       2.828ms           0 B           0 B           0 B           0 B            51                                                                                []  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us     135.940ms       249.98%     135.940ms       2.719ms           0 B           0 B           0 B           0 B            50                                                                                []  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us       7.481ms        13.76%       7.481ms      37.407us           0 B           0 B           0 B           0 B           200                                                                                []  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us       7.050ms        12.96%       7.050ms      35.252us           0 B           0 B           0 B           0 B           200                                                                                []  
_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_32x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us       6.642ms        12.21%       6.642ms      66.419us           0 B           0 B           0 B           0 B           100                                                                                []  
                                               aten::mm         0.12%       1.537ms         0.20%       2.585ms      51.692us       6.614ms        12.16%       6.614ms     132.286us           0 B           0 B     200.00 KB     200.00 KB            50                                                      [[32, 131200], [131200, 32]]  
                             aten::convolution_backward         0.16%       2.082ms         0.39%       4.941ms      49.415us       6.600ms        12.14%       7.241ms      72.411us           0 B           0 B     362.15 MB           0 B           100  [[32, 64, 28, 28], [32, 32, 30, 30], [64, 1, 3, 3], [], [], [], [], [], [], [],   
                                aten::_conv_depthwise2d         0.11%       1.387ms         0.64%       8.144ms      81.439us       5.940ms        10.92%       6.103ms      61.031us           0 B           0 B     612.88 MB           0 B           100                           [[32, 32, 30, 30], [64, 1, 3, 3], [], [64], [], [], []]  
_ZN2at6native52_GLOBAL__N__83ba8c45_19_DilatedMaxPoo...         0.00%       0.000us         0.00%       0.000us       0.000us       5.347ms         9.83%       5.347ms      26.733us           0 B           0 B           0 B           0 B           200                                                                                []  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us       5.276ms         9.70%       5.276ms      26.381us           0 B           0 B           0 B           0 B           200                                                                                []  
                             aten::convolution_backward         0.19%       2.392ms         0.45%       5.670ms     113.400us       5.072ms         9.33%       5.072ms     101.433us           0 B           0 B       5.27 MB           0 B            50  [[1, 1024, 30, 30], [1, 96, 32, 32], [1024, 3, 3, 3], [], [], [], [], [], [], []  
_ZN5cudnn3cnn29wgrad2d_grouped_direct_kernelILb0ELb1...         0.00%       0.000us         0.00%       0.000us       0.000us       5.072ms         9.33%       5.072ms     101.433us           0 B           0 B           0 B           0 B            50                                                                                []  
                 aten::max_pool2d_with_indices_backward         0.08%       1.052ms         0.23%       2.929ms      29.293us       4.345ms         7.99%       4.868ms      48.684us           0 B           0 B     615.69 MB     615.69 MB           100        [[32, 64, 14, 14], [32, 64, 28, 28], [], [], [], [], [], [32, 64, 14, 14]]  
                             aten::convolution_backward         0.07%     872.200us         0.14%       1.766ms      35.328us       2.823ms         5.19%       2.823ms      56.456us           0 B           0 B       3.52 MB           0 B            50  [[1, 2048, 28, 28], [1, 1024, 30, 30], [2048, 1, 3, 3], [], [], [], [], [], [],   
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us       2.668ms         4.91%       2.668ms       7.622us           0 B           0 B           0 B           0 B           350                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 1.270s
Self CUDA time total: 54.381ms
