-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           gramian_pass        34.20%     328.032ms        34.65%     332.341ms       6.647ms       0.000us         0.00%      38.240us       0.765us           0 B           0 B       4.22 GB       4.22 GB            50  
                                              aten::cat         0.63%       6.015ms         2.32%      22.294ms      89.174us      10.836ms         8.93%      10.836ms      43.342us           0 B           0 B       3.17 GB       3.17 GB           250  
                                              aten::bmm         0.27%       2.613ms         1.09%      10.474ms     104.744us       5.549ms         4.57%       5.549ms      55.494us           0 B           0 B       3.14 GB       3.14 GB           100  
                                          aten::resize_         0.22%       2.094ms         0.22%       2.094ms       2.991us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       2.46 GB       2.46 GB           700  
                 aten::max_pool2d_with_indices_backward         0.29%       2.759ms         0.83%       8.003ms      40.013us      10.531ms         8.68%      11.776ms      58.879us           0 B           0 B       1.42 GB       1.42 GB           200  
                                     aten::elu_backward         0.43%       4.158ms         0.97%       9.329ms      23.321us       2.441ms         2.01%       2.441ms       6.102us           0 B           0 B       1.02 GB       1.02 GB           400  
                                aten::cudnn_convolution         0.51%       4.877ms         1.07%      10.249ms     102.485us       2.601ms         2.14%       2.633ms      26.332us           0 B           0 B     703.12 MB     703.12 MB           100  
                                              aten::elu         0.25%       2.434ms         0.47%       4.507ms      22.534us     737.644us         0.61%     737.644us       3.688us           0 B           0 B     524.25 MB     524.25 MB           200  
                          aten::max_pool2d_with_indices         0.15%       1.419ms         0.28%       2.698ms      26.983us       1.073ms         0.88%       1.073ms      10.726us           0 B           0 B     519.53 MB     519.53 MB           100  
                                               aten::mm         2.09%      20.024ms         6.40%      61.364ms      72.193us      27.383ms        22.56%      33.522ms      39.438us           0 B           0 B       3.27 GB     131.23 MB           850  
                                            aten::empty         0.49%       4.668ms         0.49%       4.668ms       3.591us       0.000us         0.00%       0.000us       0.000us       1.95 KB       1.95 KB      11.18 MB      11.18 MB          1300  
                                              aten::sum         1.21%      11.630ms         2.01%      19.239ms      32.065us       4.476ms         3.69%       4.476ms       7.460us           0 B           0 B       3.78 MB       3.78 MB           600  
                                              aten::add         0.33%       3.181ms         0.45%       4.302ms      28.677us     164.909us         0.14%     164.909us       1.099us           0 B           0 B       1.83 MB       1.83 MB           150  
                                            aten::addmm         0.78%       7.490ms         2.77%      26.550ms     132.752us       1.272ms         1.05%       2.075ms      10.374us           0 B           0 B       4.91 MB       1.56 MB           200  
                                    aten::empty_strided         0.11%       1.062ms         0.11%       1.062ms       3.540us       0.000us         0.00%       0.000us       0.000us     600.00 KB     600.00 KB     425.00 KB     425.00 KB           300  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 959.177ms
Self CUDA time total: 121.363ms
