-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             aten::convolution_backward         0.07%      17.168ms         1.05%     247.572ms     450.131us        5.319s        43.14%        7.978s      14.506ms           0 B           0 B       2.09 GB     -75.00 KB           550  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us        3.322s        26.95%        3.322s      16.612ms           0 B           0 B           0 B           0 B           200  
                                               aten::mm        10.10%        2.371s        12.49%        2.933s       3.451ms        2.375s        19.27%        3.248s       3.821ms           0 B           0 B      12.99 GB     465.90 MB           850  
_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us        2.299s        18.65%        2.299s      45.984ms           0 B           0 B           0 B           0 B            50  
                                              aten::cat         0.04%       8.771ms         4.15%     974.452ms       3.898ms        1.841s        14.93%        1.841s       7.365ms           0 B           0 B      12.59 GB      12.59 GB           250  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us        1.790s        14.51%        1.790s       8.948ms           0 B           0 B           0 B           0 B           200  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us     957.005ms         7.76%     957.005ms       4.785ms           0 B           0 B           0 B           0 B           200  
                                              aten::bmm         0.01%       3.044ms         0.80%     187.190ms       1.872ms     867.211ms         7.03%     867.211ms       8.672ms           0 B           0 B      12.53 GB      12.53 GB           100  
_Z13gemmk1_kernelIifLi256ELi5ELb0ELb0ELb1ELb0E30cubl...         0.00%       0.000us         0.00%       0.000us       0.000us     867.211ms         7.03%     867.211ms       8.672ms           0 B           0 B           0 B           0 B           100  
                 aten::max_pool2d_with_indices_backward         0.01%       3.298ms         2.48%     583.368ms       2.917ms     569.565ms         4.62%     708.346ms       3.542ms           0 B           0 B       2.84 GB       2.84 GB           200  
_ZN2at6native52_GLOBAL__N__83ba8c45_19_DilatedMaxPoo...         0.00%       0.000us         0.00%       0.000us       0.000us     569.565ms         4.62%     569.565ms       2.848ms           0 B           0 B           0 B           0 B           200  
_ZN5cudnn3cnn29wgrad2d_grouped_direct_kernelILb0ELb1...         0.00%       0.000us         0.00%       0.000us       0.000us     561.055ms         4.55%     561.055ms      11.221ms           0 B           0 B           0 B           0 B            50  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     517.757ms         4.20%     517.757ms      10.355ms           0 B           0 B           0 B           0 B            50  
_Z17wgrad_alg0_engineIfLi128ELi5ELi5ELi3ELi3ELi3ELb0...         0.00%       0.000us         0.00%       0.000us       0.000us     478.062ms         3.88%     478.062ms       9.561ms           0 B           0 B           0 B           0 B            50  
                                aten::_conv_depthwise2d         0.01%       2.718ms         0.03%       8.012ms      40.060us     423.224ms         3.43%     423.224ms       2.116ms           0 B           0 B       2.83 GB           0 B           200  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us     423.224ms         3.43%     423.224ms       2.116ms           0 B           0 B           0 B           0 B           200  
                                              aten::sum         0.05%      12.616ms         1.02%     239.644ms     399.406us     217.442ms         1.76%     217.442ms     362.403us           0 B           0 B       7.40 MB       7.40 MB           600  
                                aten::cudnn_convolution         0.03%       7.254ms         0.46%     107.564ms       1.076ms     208.825ms         1.69%     208.898ms       2.089ms           0 B           0 B       1.37 GB       1.37 GB           100  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us     198.073ms         1.61%     198.073ms     565.923us           0 B           0 B           0 B           0 B           350  
                                            aten::fill_         0.02%       4.497ms         3.44%     808.219ms       1.243ms     139.299ms         1.13%     139.299ms     214.306us           0 B           0 B           0 B           0 B           650  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 23.490s
Self CUDA time total: 12.330s
