-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::resize_         0.58%     854.650us         0.86%       1.256ms       5.510us       1.545ms         0.81%       1.545ms       6.775us           0 b           0 b       5.89 Gb       5.89 Gb           228  
                          aten::max_pool2d_with_indices         0.47%     691.304us         0.68%     988.768us      20.599us       3.709ms         1.94%       3.709ms      77.263us           0 b           0 b     954.00 Mb     954.00 Mb            48  
                 aten::max_pool2d_with_indices_backward         0.18%     262.668us         0.50%     734.965us      30.624us       5.384ms         2.81%       6.423ms     267.636us           0 b           0 b     696.00 Mb     696.00 Mb            24  
                                    aten::empty_strided         1.09%       1.592ms         1.09%       1.592ms       6.031us       0.000us         0.00%       0.000us       0.000us     192.00 Kb     192.00 Kb     499.34 Mb     499.34 Mb           264  
                                              aten::mul         0.60%     883.704us         0.91%       1.336ms      15.904us       2.383ms         1.24%       2.383ms      28.373us           0 b           0 b     498.28 Mb     498.28 Mb            84  
                                              aten::elu         0.41%     602.841us         0.62%     902.989us      18.812us       1.608ms         0.84%       1.608ms      33.499us           0 b           0 b     498.00 Mb     498.00 Mb            48  
                                              aten::exp         0.42%     619.358us         0.59%     868.869us      18.101us       1.584ms         0.83%       1.584ms      32.994us           0 b           0 b     498.00 Mb     498.00 Mb            48  
                                     aten::elu_backward         0.40%     582.831us         0.68%     993.987us      20.708us       2.260ms         1.18%       2.260ms      47.083us           0 b           0 b     498.00 Mb     498.00 Mb            48  
                                            aten::empty         1.05%       1.529ms         1.05%       1.529ms       4.719us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     489.56 Mb     489.56 Mb           324  
                                               aten::mm         2.75%       4.013ms         4.11%       6.003ms      27.791us       3.635ms         1.90%       3.635ms      16.831us           0 b           0 b     412.03 Mb     412.03 Mb           216  
                                aten::cudnn_convolution         0.38%     561.240us         0.69%       1.011ms      84.213us     964.122us         0.50%     964.122us      80.344us           0 b           0 b     337.50 Mb     337.50 Mb            12  
                                               aten::gt         0.53%     769.102us         0.75%       1.090ms      22.714us       1.021ms         0.53%       1.021ms      21.269us           0 b           0 b     126.75 Mb     126.75 Mb            48  
                                              aten::bmm         0.59%     857.143us         0.79%       1.162ms      32.279us       8.333ms         4.35%       8.333ms     231.481us           0 b           0 b      23.62 Mb      23.62 Mb            36  
                             aten::convolution_backward         1.24%       1.807ms         2.84%       4.152ms      57.673us      20.236ms        10.57%      22.189ms     308.183us           0 b           0 b     974.30 Mb       4.50 Mb            72  
                                              aten::sum         1.35%       1.969ms         2.00%       2.920ms      24.331us       4.081ms         2.13%       4.081ms      34.012us           0 b           0 b       2.00 Mb       2.00 Mb           120  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 146.170ms
Self CUDA time total: 191.457ms
