-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                  fused_forward_gramian         0.00%       0.000us         0.00%       0.000us       0.000us      66.757ms        34.87%      66.757ms       5.563ms           0 b           0 b           0 b           0 b            12                                                                                []  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      33.468ms        17.48%      33.468ms       2.789ms           0 b           0 b           0 b           0 b            12                                                                                []  
                             aten::convolution_backward         0.35%     506.553us         0.86%       1.252ms      52.157us      13.489ms         7.05%      14.496ms     603.987us           0 b           0 b     675.23 Mb           0 b            24  [[32, 512, 28, 28], [32, 256, 30, 30], [512, 1, 3, 3], [], [], [], [], [], [], [  
void at::native::im2col_kernel<float>(long, float co...         0.00%       0.000us         0.00%       0.000us       0.000us      13.007ms         6.79%      13.007ms      11.291us           0 b           0 b           0 b           0 b          1152                                                                                []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      10.875ms         5.68%      10.875ms     226.561us           0 b           0 b           0 b           0 b            48                                                                                []  
                                           aten::im2col         0.87%       1.274ms         2.86%       4.187ms     348.895us       7.227ms         3.77%       8.281ms     690.055us           0 b           0 b       2.58 Gb           0 b            12                                               [[32, 256, 30, 30], [], [], [], []]  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       6.721ms         3.51%       6.721ms     280.035us           0 b           0 b           0 b           0 b            24                                                                                []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       6.698ms         3.50%       6.698ms     279.098us           0 b           0 b           0 b           0 b            24                                                                                []  
                                aten::_conv_depthwise2d         0.08%     114.717us         0.21%     309.226us      25.769us       5.715ms         2.98%       5.715ms     476.247us           0 b           0 b     588.00 Mb           0 b            12                        [[32, 256, 30, 30], [512, 1, 3, 3], [], [512], [], [], []]  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us       5.384ms         2.81%       5.384ms     224.317us           0 b           0 b           0 b           0 b            24                                                                                []  
                                              aten::bmm         0.19%     282.988us         0.26%     381.994us      31.833us       4.929ms         2.57%       4.929ms     410.775us           0 b           0 b       6.75 Mb       6.75 Mb            12                                                  [[8192, 2, 784], [8192, 784, 9]]  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       4.929ms         2.57%       4.929ms     410.775us           0 b           0 b           0 b           0 b            12                                                                                []  
                 aten::max_pool2d_with_indices_backward         0.09%     126.739us         0.24%     350.365us      29.197us       4.470ms         2.33%       5.342ms     445.191us           0 b           0 b     588.00 Mb     588.00 Mb            12     [[32, 512, 14, 14], [32, 512, 28, 28], [], [], [], [], [], [32, 512, 14, 14]]  
                             aten::convolution_backward         0.35%     511.222us         0.90%       1.317ms      54.879us       4.107ms         2.14%       4.463ms     185.966us           0 b           0 b     294.23 Mb           0 b            24  [[32, 512, 12, 12], [32, 512, 14, 14], [512, 1, 3, 3], [], [], [], [], [], [], [  
                                           aten::im2col         0.89%       1.306ms         2.85%       4.162ms     346.794us       3.964ms         2.07%       4.419ms     368.286us           0 b           0 b     972.00 Mb           0 b            12                                               [[32, 512, 14, 14], [], [], [], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 146.170ms
Self CUDA time total: 191.457ms
