-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  fused_forward_gramian         0.00%       0.000us         0.00%       0.000us       0.000us      66.757ms        34.87%      66.757ms       5.563ms           0 b           0 b           0 b           0 b            12  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      33.468ms        17.48%      33.468ms       2.789ms           0 b           0 b           0 b           0 b            12  
                             aten::convolution_backward         1.24%       1.807ms         2.84%       4.152ms      57.673us      20.236ms        10.57%      22.189ms     308.183us           0 b           0 b     974.30 Mb       4.50 Mb            72  
                                           aten::im2col         2.57%       3.760ms         8.55%      12.505ms     347.352us      13.007ms         6.79%      14.552ms     404.219us           0 b           0 b       3.57 Gb           0 b            36  
void at::native::im2col_kernel<float>(long, float co...         0.00%       0.000us         0.00%       0.000us       0.000us      13.007ms         6.79%      13.007ms      11.291us           0 b           0 b           0 b           0 b          1152  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      10.875ms         5.68%      10.875ms     226.561us           0 b           0 b           0 b           0 b            48  
                                              aten::bmm         0.59%     857.143us         0.79%       1.162ms      32.279us       8.333ms         4.35%       8.333ms     231.481us           0 b           0 b      23.62 Mb      23.62 Mb            36  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       6.721ms         3.51%       6.721ms     280.035us           0 b           0 b           0 b           0 b            24  
                                aten::_conv_depthwise2d         0.15%     212.544us         0.40%     588.445us      24.519us       6.698ms         3.50%       6.698ms     279.098us           0 b           0 b     696.00 Mb           0 b            24  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       6.698ms         3.50%       6.698ms     279.098us           0 b           0 b           0 b           0 b            24  
                 aten::max_pool2d_with_indices_backward         0.18%     262.668us         0.50%     734.965us      30.624us       5.384ms         2.81%       6.423ms     267.636us           0 b           0 b     696.00 Mb     696.00 Mb            24  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us       5.384ms         2.81%       5.384ms     224.317us           0 b           0 b           0 b           0 b            24  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       4.929ms         2.57%       4.929ms     410.775us           0 b           0 b           0 b           0 b            12  
                                              aten::sum         1.35%       1.969ms         2.00%       2.920ms      24.331us       4.081ms         2.13%       4.081ms      34.012us           0 b           0 b       2.00 Mb       2.00 Mb           120  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.815ms         1.99%       3.815ms      52.980us           0 b           0 b           0 b           0 b            72  
                          aten::max_pool2d_with_indices         0.47%     691.304us         0.68%     988.768us      20.599us       3.709ms         1.94%       3.709ms      77.263us           0 b           0 b     954.00 Mb     954.00 Mb            48  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us       3.709ms         1.94%       3.709ms      77.263us           0 b           0 b           0 b           0 b            48  
                                               aten::mm         2.75%       4.013ms         4.11%       6.003ms      27.791us       3.635ms         1.90%       3.635ms      16.831us           0 b           0 b     412.03 Mb     412.03 Mb           216  
                                            aten::fill_         0.72%       1.053ms         1.61%       2.353ms      11.535us       2.971ms         1.55%       2.971ms      14.563us           0 b           0 b           0 b           0 b           204  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.861ms         1.49%       2.861ms      23.842us           0 b           0 b           0 b           0 b           120  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 146.170ms
Self CUDA time total: 191.457ms
