-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                              aten::cat         0.52%       1.835ms         2.17%       7.689ms     128.158us      38.540ms        15.54%      38.540ms     642.334us           0 b           0 b      12.05 Gb      12.05 Gb            60                                                                          [[], []]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      38.540ms        15.54%      38.540ms     642.334us           0 b           0 b           0 b           0 b            60                                                                                []  
                                               aten::mm         0.10%     342.073us         0.16%     553.778us      46.148us      38.533ms        15.54%      38.533ms       3.211ms           0 b           0 b      48.00 Kb      48.00 Kb            12                                                    [[32, 8389632], [8389632, 32]]  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      38.481ms        15.52%      38.481ms       3.207ms           0 b           0 b           0 b           0 b            12                                                                                []  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      33.849ms        13.65%      33.849ms       2.821ms           0 b           0 b           0 b           0 b            12                                                                                []  
                             aten::convolution_backward         0.31%       1.117ms         1.33%       4.712ms     392.650us      19.532ms         7.88%      19.532ms       1.628ms           0 b           0 b      10.12 Mb           0 b            12  [[1, 8192, 30, 30], [1, 96, 32, 32], [8192, 3, 3, 3], [], [], [], [], [], [], []  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us      19.241ms         7.76%      19.241ms       1.603ms           0 b           0 b           0 b           0 b            12                                                                                []  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      18.834ms         7.60%      18.834ms      49.048us           0 b           0 b           0 b           0 b           384                                                                                []  
void gemmk1_kernel<int, float, 256, 5, false, false,...         0.00%       0.000us         0.00%       0.000us       0.000us      18.204ms         7.34%      18.204ms     758.516us           0 b           0 b           0 b           0 b            24                                                                                []  
                                              aten::bmm         0.10%     372.636us         0.38%       1.366ms     113.857us      18.161ms         7.32%      18.161ms       1.513ms           0 b           0 b      12.00 Gb      12.00 Gb            12                                                    [[32, 1024, 1], [32, 1, 8192]]  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      17.688ms         7.13%      17.688ms     368.499us           0 b           0 b           0 b           0 b            48                                                                                []  
                             aten::convolution_backward         0.13%     454.543us         0.37%       1.300ms      54.175us      13.024ms         5.25%      14.029ms     584.550us           0 b           0 b     675.23 Mb           0 b            24  [[32, 512, 28, 28], [32, 256, 30, 30], [512, 1, 3, 3], [], [], [], [], [], [], [  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      12.893ms         5.20%      12.893ms     268.607us           0 b           0 b           0 b           0 b            48                                                                                []  
                                aten::_conv_depthwise2d         0.09%     303.785us         0.26%     913.581us      38.066us      10.993ms         4.43%      10.993ms     458.059us           0 b           0 b       1.15 Gb           0 b            24                        [[32, 256, 30, 30], [512, 1, 3, 3], [], [512], [], [], []]  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      10.435ms         4.21%      10.435ms     217.401us           0 b           0 b           0 b           0 b            48                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 354.982ms
Self CUDA time total: 247.941ms
