-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             aten::convolution_backward         1.20%       4.252ms         5.72%      20.320ms     153.938us      49.199ms        19.84%      83.799ms     634.842us           0 b           0 b    1018.92 Mb     -18.00 Kb           132  
                                               aten::mm         1.05%       3.713ms         2.90%      10.304ms      50.508us      42.178ms        17.01%      61.271ms     300.348us           0 b           0 b      12.43 Gb     413.97 Mb           204  
                                              aten::cat         0.52%       1.835ms         2.17%       7.689ms     128.158us      38.540ms        15.54%      38.540ms     642.334us           0 b           0 b      12.05 Gb      12.05 Gb            60  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      38.540ms        15.54%      38.540ms     642.334us           0 b           0 b           0 b           0 b            60  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      38.481ms        15.52%      38.481ms       3.207ms           0 b           0 b           0 b           0 b            12  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      33.849ms        13.65%      33.849ms       2.821ms           0 b           0 b           0 b           0 b            12  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us      19.241ms         7.76%      19.241ms       1.603ms           0 b           0 b           0 b           0 b            12  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      18.834ms         7.60%      18.834ms      49.048us           0 b           0 b           0 b           0 b           384  
                                              aten::bmm         0.18%     646.055us         0.50%       1.783ms      74.303us      18.204ms         7.34%      18.204ms     758.516us           0 b           0 b      12.02 Gb      12.02 Gb            24  
void gemmk1_kernel<int, float, 256, 5, false, false,...         0.00%       0.000us         0.00%       0.000us       0.000us      18.204ms         7.34%      18.204ms     758.516us           0 b           0 b           0 b           0 b            24  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      17.688ms         7.13%      17.688ms     368.499us           0 b           0 b           0 b           0 b            48  
                                aten::_conv_depthwise2d         0.17%     593.448us         0.50%       1.765ms      36.772us      12.893ms         5.20%      12.893ms     268.607us           0 b           0 b       1.36 Gb           0 b            48  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      12.893ms         5.20%      12.893ms     268.607us           0 b           0 b           0 b           0 b            48  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      10.435ms         4.21%      10.435ms     217.401us           0 b           0 b           0 b           0 b            48  
                 aten::max_pool2d_with_indices_backward         0.20%     715.406us         0.50%       1.768ms      36.834us      10.335ms         4.17%      12.429ms     258.946us           0 b           0 b       1.36 Gb       1.36 Gb            48  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us      10.335ms         4.17%      10.335ms     215.320us           0 b           0 b           0 b           0 b            48  
                                     aten::elu_backward         0.39%       1.370ms         1.03%       3.644ms      37.963us       4.592ms         1.85%       4.592ms      47.836us           0 b           0 b     996.00 Mb     996.00 Mb            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.592ms         1.85%       4.592ms      47.836us           0 b           0 b           0 b           0 b            96  
                                              aten::sum         0.95%       3.362ms         1.37%       4.876ms      33.858us       4.252ms         1.72%       4.252ms      29.530us           0 b           0 b       3.52 Mb       3.52 Mb           144  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.938ms         1.59%       3.938ms      46.878us           0 b           0 b           0 b           0 b            84  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 354.982ms
Self CUDA time total: 247.941ms
